time/h,Ecell/V,(Q-Qo)/mA.h/g
1.1951,1.10807,-11.7841
1.20231,1.107,-11.8562
1.21064,1.10614,-11.9395
1.21779,1.10511,-12.011
1.22585,1.10409,-12.0916
1.23419,1.10315,-12.175
1.24185,1.10212,-12.2516
1.25019,1.10129,-12.335
1.25693,1.10027,-12.4024
1.26498,1.09925,-12.4829
1.27331,1.09846,-12.5662
1.28022,1.09744,-12.6353
1.28855,1.09665,-12.7186
1.29481,1.09558,-12.7812
1.30314,1.09484,-12.8645
1.31002,1.09377,-12.9333
1.31836,1.09291,-13.0167
1.32584,1.09188,-13.0915
1.33417,1.0911,-13.1748
1.34098,1.09007,-13.2429
1.34932,1.08928,-13.3263
1.35632,1.08826,-13.3963
1.36466,1.08739,-13.4797
1.3726,1.08637,-13.5591
1.38082,1.08535,-13.6413
1.38915,1.0846,-13.7246
1.39618,1.08357,-13.7949
1.40452,1.08283,-13.8782
1.4114,1.0818,-13.9471
1.41973,1.08094,-14.0304
1.42774,1.07991,-14.1105
1.43607,1.07912,-14.1938
1.44322,1.0781,-14.2653
1.45155,1.07731,-14.3486
1.45894,1.07629,-14.4225
1.46727,1.0755,-14.5058
1.47464,1.07448,-14.5795
1.48298,1.07365,-14.6629
1.49062,1.07263,-14.7393
1.49895,1.07188,-14.8226
1.50661,1.07086,-14.8992
1.51494,1.07011,-14.9825
1.52225,1.06908,-15.0556
1.53058,1.06818,-15.1389
1.53892,1.06739,-15.2222
1.54643,1.06637,-15.2973
1.55476,1.06566,-15.3807
1.56204,1.06463,-15.4535
1.57038,1.06385,-15.5368
1.57844,1.06282,-15.6175
1.58678,1.062,-15.7008
1.59511,1.06109,-15.7842
1.60344,1.06014,-15.8675
1.61178,1.05924,-15.9508
1.62011,1.05833,-16.0342
1.62844,1.05747,-16.1175
1.63667,1.05644,-16.1997
1.645,1.05566,-16.283
1.65333,1.05487,-16.3664
1.66064,1.05384,-16.4395
1.66898,1.05317,-16.5228
1.67625,1.05215,-16.5955
1.68458,1.0514,-16.6789
1.69274,1.05034,-16.7605
1.70107,1.04959,-16.8438
1.70939,1.04857,-16.927
1.71773,1.04778,-17.0103
1.72606,1.04695,-17.0936
1.73439,1.04605,-17.177
1.74273,1.04514,-17.2603
1.75106,1.04431,-17.3436
1.75939,1.04349,-17.427
1.76684,1.04246,-17.5014
1.77517,1.04176,-17.5847
1.78339,1.04073,-17.6669
1.79172,1.04002,-17.7502
1.80001,1.039,-17.8332
1.80835,1.03825,-17.9165
1.81668,1.03746,-17.9998
1.82427,1.03644,-18.0757
1.8326,1.03581,-18.159
1.84086,1.03479,-18.2416
1.84919,1.03416,-18.325
1.85674,1.03313,-18.4005
1.86508,1.0325,-18.4838
1.87302,1.03148,-18.5633
1.88136,1.03077,-18.6466
1.88962,1.02974,-18.7293
1.89796,1.02908,-18.8126
1.90619,1.02805,-18.8949
1.91452,1.02738,-18.9782
1.92282,1.02636,-19.0612
1.93116,1.02569,-19.1446
1.93949,1.02482,-19.2279
1.94782,1.02407,-19.3112
1.95569,1.02305,-19.3899
1.96402,1.02238,-19.4732
1.97235,1.02159,-19.5565
1.98002,1.02053,-19.6332
1.98836,1.0199,-19.7166
1.99669,1.01907,-19.7999
2.00502,1.01825,-19.8832
2.01302,1.01722,-19.9632
2.02135,1.01667,-20.0466
2.02969,1.01577,-20.1299
2.03802,1.0149,-20.2132
2.04635,1.01411,-20.2966
2.05469,1.01332,-20.3799
2.06302,1.01254,-20.4632
2.071,1.01151,-20.543
2.07934,1.0108,-20.6264
2.08767,1.01002,-20.7097
2.096,1.00919,-20.793
2.10434,1.00844,-20.8764
2.11267,1.00777,-20.9597
2.11974,1.00675,-21.0304
2.12807,1.0062,-21.1137
2.13599,1.00517,-21.1929
2.14432,1.00462,-21.2762
2.15221,1.0036,-21.3551
2.16055,1.00297,-21.4385
2.16888,1.0021,-21.5218
2.17721,1.00139,-21.6051
2.18555,1.00072,-21.6885
2.19312,0.9997,-21.7642
2.20145,0.999188,-21.8475
2.20901,0.998164,-21.9231
2.21734,0.997573,-22.0064
2.22567,0.996825,-22.0897
2.23358,0.995801,-22.1688
2.24191,0.995171,-22.2521
2.25025,0.994423,-22.3355
2.25838,0.993399,-22.4168
2.26672,0.992808,-22.5002
2.27505,0.99206,-22.5835
2.28338,0.991233,-22.6668
2.29172,0.990485,-22.7501
2.30005,0.989776,-22.8335
2.30778,0.988753,-22.9108
2.31611,0.988123,-22.9941
2.32444,0.987453,-23.0774
2.33277,0.986429,-23.1606
2.3411,0.985917,-23.244
2.34905,0.984894,-23.3235
2.35739,0.984342,-23.4068
2.3656,0.983318,-23.489
2.37394,0.982649,-23.5723
2.38227,0.982058,-23.6557
2.39033,0.981035,-23.7362
2.39866,0.980404,-23.8196
2.40699,0.979774,-23.9029
2.41517,0.978751,-23.9846
2.4235,0.978121,-24.068
2.43183,0.977294,-24.1513
2.44017,0.976585,-24.2346
2.4485,0.975758,-24.318
2.45683,0.975167,-24.4013
2.46494,0.974143,-24.4823
2.47327,0.973592,-24.5657
2.4816,0.972765,-24.649
2.48994,0.971938,-24.7323
2.49827,0.97119,-24.8156
2.5066,0.970481,-24.899
2.51494,0.969812,-24.9823
2.52327,0.968985,-25.0656
2.5316,0.968315,-25.149
2.53983,0.967292,-25.2312
2.54816,0.966701,-25.3146
2.55649,0.965913,-25.3979
2.56483,0.965205,-25.4812
2.57316,0.964456,-25.5646
2.58149,0.963669,-25.6479
2.58983,0.962921,-25.7312
2.59816,0.962133,-25.8146
2.60649,0.961346,-25.8979
2.61483,0.960558,-25.9812
2.62316,0.959928,-26.0646
2.63149,0.95914,-26.1479
2.63983,0.958471,-26.2312
2.64816,0.957565,-26.3145
2.65649,0.956975,-26.3979
2.66483,0.956227,-26.4812
2.67316,0.955321,-26.5645
2.68149,0.95473,-26.6479
2.68983,0.953903,-26.7312
2.69816,0.953116,-26.8145
2.70649,0.952486,-26.8979
2.71483,0.951541,-26.9812
2.72316,0.950871,-27.0645
2.73149,0.950241,-27.1479
2.73983,0.949493,-27.2312
2.74816,0.948705,-27.3145
2.75649,0.948036,-27.3979
2.76483,0.94717,-27.4812
2.77316,0.946618,-27.5645
2.78148,0.945595,-27.6477
2.78981,0.944925,-27.731
2.79814,0.944334,-27.8144
2.80648,0.943507,-27.8977
2.81481,0.942877,-27.981
2.82314,0.942011,-28.0644
2.83148,0.941224,-28.1477
2.83981,0.940594,-28.231
2.84814,0.939885,-28.3144
2.85648,0.939137,-28.3977
2.86481,0.93831,-28.481
2.87314,0.93764,-28.5643
2.88148,0.936892,-28.6477
2.88981,0.936144,-28.731
2.89814,0.935474,-28.8143
2.90648,0.934726,-28.8977
2.91481,0.933899,-28.981
2.92314,0.933348,-29.0643
2.93138,0.932324,-29.1467
2.93972,0.931891,-29.2301
2.94805,0.931143,-29.3134
2.95638,0.930355,-29.3967
2.96472,0.929647,-29.4801
2.97305,0.928859,-29.5634
2.98138,0.928071,-29.6467
2.98972,0.927481,-29.7301
2.99805,0.926654,-29.8134
3.00638,0.925945,-29.8967
3.01472,0.925276,-29.9801
3.02305,0.924527,-30.0634
3.03138,0.92374,-30.1467
3.03972,0.922992,-30.23
3.04805,0.922362,-30.3134
3.05638,0.921417,-30.3967
3.06472,0.920944,-30.48
3.07305,0.920038,-30.5634
3.08138,0.919408,-30.6467
3.08972,0.918739,-30.73
3.09805,0.917951,-30.8134
3.10638,0.917282,-30.8967
3.11472,0.916534,-30.98
3.12305,0.915825,-31.0634
3.13138,0.915077,-31.1467
3.13972,0.914368,-31.23
3.14805,0.913659,-31.3134
3.15638,0.912872,-31.3967
3.16472,0.912163,-31.48
3.17305,0.911454,-31.5634
3.18138,0.910745,-31.6467
3.18972,0.909997,-31.73
3.19805,0.909288,-31.8134
3.20638,0.90854,-31.8967
3.21472,0.907753,-31.98
3.22305,0.907201,-32.0633
3.23138,0.906492,-32.1467
3.23972,0.905744,-32.23
3.24805,0.904996,-32.3133
3.25638,0.904366,-32.3967
3.26472,0.903539,-32.48
3.27305,0.90287,-32.5633
3.28138,0.902161,-32.6467
3.28972,0.901491,-32.73
3.29805,0.900665,-32.8133
3.30638,0.899995,-32.8967
3.31472,0.899247,-32.98
3.32305,0.898577,-33.0633
3.33138,0.89779,-33.1467
3.33972,0.89716,-33.23
3.34805,0.896333,-33.3133
3.35638,0.895663,-33.3967
3.36472,0.894955,-33.48
3.37305,0.894246,-33.5633
3.38138,0.893498,-33.6466
3.38972,0.892789,-33.73
3.39805,0.891923,-33.8133
3.40638,0.89145,-33.8966
3.41471,0.890426,-33.9799
3.42304,0.889914,-34.0632
3.43137,0.889284,-34.1466
3.43971,0.888457,-34.2299
3.44804,0.887788,-34.3132
3.45637,0.88704,-34.3965
3.46471,0.886292,-34.4799
3.47304,0.885583,-34.5632
3.48137,0.884913,-34.6465
3.48971,0.884165,-34.7299
3.49804,0.883535,-34.8132
3.50637,0.882748,-34.8965
3.51471,0.881999,-34.9799
3.52304,0.881369,-35.0632
3.53137,0.880542,-35.1465
3.53971,0.879873,-35.2299
3.54804,0.879243,-35.3132
3.55637,0.878377,-35.3965
3.56471,0.877707,-35.4799
3.57304,0.877117,-35.5632
3.58137,0.876329,-35.6465
